timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014829962626,-6,124,-8,-17,1,5,-17,-73
1495014829962626,-20,-128,1,44,-18,-1,15,-2
1495014829969699,27,127,5,-55,-40,-13,-7,28
1495014829969699,39,-31,-13,-13,72,30,9,55
1495014829985735,18,66,4,-10,-21,18,2,7
1495014829985735,-57,-92,23,-83,-2,3,12,-21
1495014829987532,34,-14,-12,48,-34,-11,-19,-90
1495014829987532,-33,-82,-5,0,-15,-10,5,-25
1495014830015745,-17,19,-11,-51,4,3,-3,-2
1495014830015745,26,69,-4,18,34,23,38,106
1495014830017613,-18,-8,-4,11,1,1,-14,-29
1495014830017613,-27,34,6,-8,-17,-8,-2,-115
1495014830021801,60,-18,3,20,27,-1,-38,43
1495014830021801,9,48,-8,19,25,47,50,58
1495014830030648,-53,21,18,-29,-38,-42,-4,12
1495014830030648,-8,33,-11,51,9,8,30,91
1495014830045691,-20,-27,4,-25,12,-10,-27,-80
1495014830045691,20,91,-1,-8,11,5,-16,-17
1495014830047693,-35,-77,9,-16,0,3,16,44
1495014830047693,29,93,-7,1,-23,4,6,11
1495014830067791,-27,-84,-6,55,29,15,25,86
1495014830067791,20,-16,7,9,-25,-27,-32,-59
1495014830069759,-8,88,-17,-21,16,9,0,-35
1495014830069759,-7,-128,9,-7,-21,11,4,34
1495014830082000,4,33,2,46,23,22,10,-7
1495014830082000,16,30,-5,24,-14,-4,-13,2
1495014830090814,25,-58,-6,8,8,24,18,79
1495014830090814,-51,-110,-5,-63,-35,-31,0,-20
1495014830106029,31,83,2,-25,-4,-20,-17,-33
1495014830106029,-69,-102,13,18,18,0,19,58
1495014830106857,111,90,7,0,1,-11,-38,-58
1495014830106857,-47,91,-7,7,17,14,1,77
1495014830127907,-28,-128,2,-11,-1,2,-10,-77
1495014830127907,-62,62,0,-40,-15,-25,8,26
1495014830129920,-35,127,-7,7,-14,-6,10,1
1495014830129920,35,-68,0,33,48,19,0,4
1495014830142152,22,28,-3,-6,-43,-12,14,41
1495014830142152,-12,6,1,-9,-6,10,-15,-35
1495014830150973,51,-26,-3,9,50,33,4,-1
1495014830150973,-36,-47,-6,106,24,-4,-9,-31
1495014830166151,-31,30,-5,-45,-13,2,8,43
1495014830166151,25,-62,0,13,27,-4,-11,-20
1495014830167014,-21,45,2,-9,-74,-44,-13,-29
1495014830167014,83,127,-2,14,56,33,1,-28
1495014830188236,-88,-94,17,3,-7,-12,-12,-62
1495014830188236,-19,49,5,-14,-6,-25,-21,-14
1495014830190071,6,8,6,16,1,-4,24,13
1495014830190071,17,40,0,-40,-26,-26,-48,36
1495014830202274,0,17,-6,7,11,11,16,42
1495014830202274,-3,-58,-2,-13,-11,4,32,-28
1495014830211128,24,31,-11,0,19,20,7,1
1495014830211128,-10,-25,2,-30,-24,-9,6,6
1495014830227171,4,-12,-4,12,1,-1,0,72
1495014830227171,-19,-91,-9,-10,-24,-10,-21,-81
1495014830227171,-4,-13,1,-23,46,7,5,12
1495014830227171,-3,-2,1,-7,-9,-7,1,-20
1495014830248409,43,104,-5,6,-2,25,11,33
1495014830248409,24,56,5,-4,-5,3,-8,2
1495014830249229,-25,-103,2,-17,-14,-4,-6,7
1495014830249229,-21,30,-3,13,-31,-20,-13,-19
1495014830261267,-9,-7,1,-3,5,-2,7,21
1495014830261267,2,120,2,4,0,-3,-10,-20
1495014830270452,93,38,11,3,-2,23,11,58
1495014830270452,-86,-128,-13,-35,-17,-34,-4,-14
1495014830285497,25,127,-4,12,-4,-21,-16,-47
1495014830285497,-32,-128,-4,7,12,-16,-57,-37
1495014830287330,-19,96,-9,16,4,24,52,48
1495014830287330,40,45,1,-17,1,31,12,72
1495014830308619,-4,-22,-4,-7,-6,-4,-1,-19
1495014830308619,11,26,-5,-6,-5,-3,-7,-6
1495014830309390,-25,-30,-8,-31,22,-1,-31,-19
1495014830309390,26,-30,-7,10,-43,-10,9,9
1495014830322441,-31,-39,-7,9,77,20,4,-17
1495014830322441,17,15,-2,-30,-4,5,-7,13
1495014830338472,-23,-39,1,20,-19,-14,-2,-5
1495014830338472,4,37,-2,8,-3,-1,11,-28
1495014830345488,66,99,6,-30,-24,-13,-27,6
1495014830345488,-38,-94,10,-13,16,17,36,63
1495014830347490,-44,58,-3,15,-23,-27,-22,-111
1495014830347490,0,64,-5,-15,7,-4,-11,-19
1495014830368551,2,-7,-1,24,-9,0,6,31
1495014830368551,66,127,2,-3,-1,6,57,64
1495014830369549,-20,-106,7,-17,-20,-17,-36,-46
1495014830369549,-14,6,-3,-2,6,-13,-16,15
1495014830381588,-40,12,-9,15,-9,1,-2,23
1495014830381588,58,34,3,-13,-11,4,16,-29
1495014830390605,14,17,2,16,15,10,12,23
1495014830390605,11,-7,3,1,8,4,2,-18
1495014830405650,-21,-52,1,-8,-3,-3,-6,-1
1495014830405650,-8,44,-4,1,5,7,-11,10
1495014830407648,9,35,0,-1,-3,2,-3,2
1495014830407648,-34,-101,-8,-17,-1,-6,0,-15
1495014830427711,-6,57,6,8,-11,-7,10,0
1495014830427711,-11,6,-9,10,2,-6,-13,-23
1495014830429709,16,59,0,3,-44,-13,3,15
1495014830429709,94,122,-5,16,91,29,1,7
1495014830441942,-59,-128,12,-42,-7,21,14,2
1495014830441942,-55,96,-19,7,-18,-20,-23,-33
1495014830450768,-5,68,9,-9,0,-9,-3,19
1495014830450768,11,58,0,3,-15,-2,7,-8
1495014830465992,74,104,-14,11,8,8,-3,-6
1495014830465992,11,-11,10,7,5,1,-25,17
1495014830467813,-57,-88,-6,-32,-9,-20,11,-6
1495014830467813,3,-53,-2,-1,-11,-3,-16,52
1495014830488081,-25,8,-10,9,9,6,-1,-102
1495014830488081,30,-11,2,-6,-21,-10,-13,3
1495014830489869,14,35,2,16,12,15,-13,-16
1495014830489869,-11,-9,8,-6,-6,5,40,53
1495014830502015,-18,-47,2,-2,-6,-6,-16,6
1495014830502015,-11,-19,-7,6,13,9,4,23
1495014830510928,8,-10,15,4,6,0,3,-12
1495014830510928,-24,-24,7,-12,-6,-4,-20,-25
1495014830526110,12,1,-1,5,-9,-5,5,18
1495014830526110,-5,-12,-15,-4,-3,-9,-2,-33
1495014830526969,-1,-16,15,2,5,2,-4,24
1495014830526969,-19,-9,0,4,-9,1,11,-22
1495014830548186,14,21,1,-18,-4,-10,-7,6
1495014830548186,0,-24,-5,0,4,7,13,-3
1495014830550031,-11,-4,-4,5,-11,-12,-8,1
1495014830550031,1,-2,-3,6,8,8,1,-2
1495014830571159,12,30,-3,-28,0,1,-2,-10
1495014830571159,-18,-40,-5,0,-4,1,-10,-2
1495014830572090,9,10,-2,4,10,9,14,13
1495014830572090,5,56,2,1,-15,-4,-5,-18
1495014830585234,-17,-123,25,-4,-16,-20,-7,8
1495014830585234,-32,46,-16,9,6,-4,-3,-18
1495014830592315,9,65,12,-11,-5,-6,1,7
1495014830592315,6,3,-2,0,-4,0,-2,-16
1495014830608385,14,35,-3,15,8,16,9,8
1495014830608385,10,-31,-3,-7,-1,11,12,19
1495014830610189,-6,2,1,3,3,-5,-9,-2
1495014830610189,-3,-11,-1,0,6,3,-11,-12
1495014830631245,-2,0,-5,10,-2,-1,-3,4
1495014830631245,0,-13,4,-1,2,0,-9,-15
1495014830632252,1,-4,2,-5,2,-6,6,5
1495014830632252,-3,6,3,-2,-10,-10,0,-5
1495014830645280,-3,-6,-6,-3,-11,-10,-2,3
1495014830645280,2,6,-3,3,5,4,-1,-8
1495014830651541,-3,-20,4,-5,0,4,3,8
1495014830651541,-6,-12,2,-3,-5,-1,6,-3
1495014830668519,3,15,-12,4,-1,0,-1,4
1495014830668519,-1,1,-6,0,3,1,-5,-3
1495014830669347,-4,-16,1,3,-6,-8,0,1
1495014830669347,-4,-3,-5,10,-4,-5,-3,-9
1495014830690642,3,9,-11,-34,-3,5,1,2
1495014830690642,-3,-10,3,19,8,8,-1,-1
1495014830692407,-6,-14,-3,-9,-5,-3,-4,-1
1495014830692407,0,6,-7,7,-1,-4,0,0
1495014830705454,3,8,1,12,-2,3,5,2
1495014830705454,-4,6,-1,-10,-2,-2,-6,-5
1495014830711463,23,9,-3,8,-1,1,-1,0
1495014830711463,-20,10,6,-7,0,6,5,-1
1495014830728507,-18,-63,7,4,-1,-9,-10,-7
1495014830728507,0,2,-5,-5,-4,-2,2,1
1495014830729506,-5,16,0,0,-1,-7,2,0
1495014830729506,12,14,-8,-1,0,2,-5,-3
1495014830750567,9,30,-3,5,7,5,1,2
1495014830750567,-3,-6,5,4,1,1,-3,-5
1495014830752577,-2,-13,-5,-6,-4,-3,-1,1
1495014830752577,1,-6,-1,-3,3,3,2,2
1495014830765610,-4,6,-1,0,-11,-2,-2,-4
1495014830765610,2,-6,-2,0,1,-1,0,-2
1495014830771836,-2,-6,-4,-5,-7,1,7,5
1495014830771836,3,-3,-1,-3,-3,-3,-4,-4
1495014830788664,-8,9,-1,15,0,-5,0,-1
1495014830788664,5,-21,-3,-11,-2,3,0,-1
1495014830789674,-8,7,-3,-10,-6,-12,-8,-3
1495014830789674,-6,-53,-1,6,5,0,1,-9
1495014830810722,12,27,1,-1,1,6,-1,5
1495014830810722,0,11,1,0,1,-1,-1,-3
1495014830816743,-1,-4,-1,-1,0,-6,-4,0
1495014830816743,2,6,-2,-4,-5,-3,-14,-3
1495014830824961,11,10,4,8,5,3,1,-3
1495014830824961,9,23,3,-3,-8,-3,-1,1
1495014830831786,-21,-52,-4,5,9,3,0,1
1495014830831786,-2,1,-1,1,1,-4,-1,-3
1495014830849840,-1,0,-5,6,-17,-9,-2,-2
1495014830849840,3,6,5,-5,25,7,-2,-1
1495014830850850,7,17,-5,5,-13,-5,6,1
1495014830850850,-9,-7,2,-4,5,7,1,2
